sentID,fullSent,condition
341,"De jongens in hun geruite giletjes zijn gelikt en professioneel, maar de meesten spreken geen Nederlands.",control
342,De Roemeense autoriteiten willen een einde maken aan een maatregel waardoor gevangenen strafvermindering kunnen krijgen door een boek te schrijven.,control
343,De eerste keer dat we samen komen houd ik een korte introductie over het belang van literatuur.,control
344,"Lezen is niet saai, zolang je maar geen saaie boeken leest.",control
345,Op tv zie je standaard een verzorgster een bejaarde mevrouw een steunkous aantrekken als het over de thuiszorg gaat.,control
346,Bart Schermer legt uit of je recht op privacy ook op het internet geldt of dat je dikke vette pech hebt...,control
347,Een nieuwe maatstaf voor openheid geeft auteurs meer zicht op fatsoenlijke afhandeling van hun werk door tijdschriften.,control
348,"Er zijn steeds meer aanwijzingen dat je van altru•sme gezonder, stressbestendiger en gelukkiger wordt.",control
349,De onderzoekers adviseren om vooral de horeca te controleren op naleving van de leeftijdsgrens voor alcohol.,control
350,"Onze oma's waren blij als hun kinderen de mazelen, bof, rode hond en waterpokken kregen.",control
351,"Voor iedere asielzoeker die dit jaar in Nederland aankwam, heeft zich ten minste ŽŽn vrijwilliger aangemeld.",control
352,Lionel Messi zal niet met het Argentijns voetbalelftal meedoen aan de Olympische Spelen in Rio de Janeiro,control
353,In Dubai is het veel makkelijker om een baan te vinden dan in veel arme landen in Zuid-Azi‘.,control
354,Tim en Max spelen het liefst samen in de zandbak als het buiten mooi weer is.,control
355,"Mijn zoon woont al drie jaar in het buitenland, maar mijn dochter studeert en woont nog thuis.",control
356,"Felice komt oorspronkelijk uit Duitsland, maar wilde in Nederland graag psychologie gaan studeren.",control
357,"Dit jaar verliezen we alle wedstrijden in de competitie, omdat het niveau veel te hoog is voor ons team.",control
358,In Zoetermeer zijn de afgelopen jaren duizenden nieuwe huizen gebouwd om de woningnood tegen te gaan.,control
359,In de apenheul kunnen de apen zomaar je broodje uit je hand halen als je niet goed uitkijkt bij de lunch.,control
360,"Voor wiskunde had Peter een onvoldoende gehaald tijdens de toetsweek, maar voor Engels had hij een 9.",control
315,NASA heeft vorige week de astronauten herdacht die zijn omgekomen tijdens ruimtemissies in de afgelopen 30 jaar.,control
316,De amateurs uit Hardenberg kunnen niet voor een stunt zorgen in de kwartfinale van de beker,control
317,De verdachte krijgt 3 jaar celstraf omdat hij een raketwerper en andere wapens thuis had liggen,control
318,Uit onderzoek blijkt dat windmolens langs de kust geen negatieve invloed hebben op toerisme in de regio.,control
319,Het kabinet wil kijken naar de mogelijkheden om de ov-chipkaart ook voor toeristen in te voeren.,control
320,De belangrijkste uitvinding in de geschiedenis van de mensheid is het schrift.,control
321,Als je meedoet aan dit programma moet je wel elke week op tijd aanwezig zijn bij alle lessen.,control
322,De nieuwe directeur wil graag veel veranderen in de organisatie om de winstmarge te vergroten.,control
323,Er staat elke dag wel weer een bericht in de krant over de uitbraak van het zika-virus in Zuid-Amerika.,control
324,Hulpverleners in Colombia hebben dagenlang gewerkt om de mijnwerkers die opgesloten zaten in de ingestorte mijn te redden.,control
325,"Het aantal leerplichtige kinderen dat voor korte of langere tijd niet naar school ging, is vorig schooljaar afgenomen.",control
326,"Melkveehouders die hun koeien in de weide brengen voordat het eerste gras gemaaid wordt, kunnen dit jaar maximaal 750 euro subsidie krijgen.",control
327,Een Zuid-Koreaanse vrouw vangt al 26 jaar ongeveer tweehonderd honden op in haar eigen huis.,control
328,"Het is goed om je documenten op te slaan voor je gaat lunchen, want als de computer uitvalt, wil je zeker zijn dat je niks kwijtraakt.",control
329,"Als je online incheckt en je instapkaart thuis print, hoef je op het vliegveld niet zo lang meer te wachten.",control
