speaker,sentID,relatedness,filename,hasQuestion,Question,yesOrNo,part,totalLen,onsetDet,onsetNoun,offsetNoun,waitForDetOffset,waitForNounOffset,waitForEnd,trigDet,trigOffsetNoun,trialIndex
Nat,327,control,Nat_327_control,0,,,experiment,5.216,3.0,3.529,3.834,0.529,0.305,1.382,55,155,37
nonNat,159,related,nonNat_159_related,0,,,experiment,6.039,4.895,5.09,5.483,0.195,0.393,0.556,21,219,38
Nat,331,control,Nat_331_control,0,,,experiment,4.976,3.884,4.148,4.529,0.264,0.381,0.447,55,155,39
nonNat,24,unrelated,nonNat_24_unrelated,1,Nemen ze een paraplu mee als het mooi weer is?,1.0,experiment,4.796,3.019,3.175,3.627,0.156,0.452,1.169,22,229,40
Nat,23,unrelated,Nat_23_unrelated,0,,,experiment,3.656,2.296,2.427,2.867,0.131,0.44,0.789,12,129,41
Nat,84,related,Nat_84_related,0,,,experiment,6.259,4.825,4.946,5.145,0.121,0.199,1.114,11,119,42
nonNat,13,related,nonNat_13_related,1,Was de spreker ziek?,1.0,experiment,5.81,3.949,4.225,4.615,0.276,0.39,1.195,21,219,43
nonNat,351,control,nonNat_351_control,0,,,experiment,5.252,0.246,0.6,1.445,0.354,0.845,3.807,55,155,44
Nat,125,related,Nat_125_related,1,Lijkt Sam erg op zijn moeder?,0.0,experiment,5.236,3.981,4.161,4.458,0.18,0.297,0.778,11,119,45
nonNat,324,control,nonNat_324_control,0,,,experiment,7.085,3.102,3.21,4.076,0.108,0.866,3.009,55,155,46
Nat,145,related,Nat_145_related,1,Werkt de lift bij brand?,0.0,experiment,3.188,1.866,1.977,2.248,0.111,0.271,0.94,11,119,47
nonNat,93,unrelated,nonNat_93_unrelated,1,Ging de zanger in een helicopter terug naar het hotel?,0.0,experiment,4.925,3.639,3.816,4.156,0.177,0.34,0.769,22,229,48
Nat,360,control,Nat_360_control,0,,,experiment,5.507,2.667,2.836,3.408,0.169,0.572,2.099,55,155,49
nonNat,116,unrelated,nonNat_116_unrelated,0,,,experiment,5.318,4.202,4.356,4.759,0.154,0.403,0.559,22,229,50
nonNat,124,related,nonNat_124_related,1,Is Jim vegetarisch?,0.0,experiment,5.822,3.858,4.006,4.613,0.148,0.607,1.209,21,219,51
nonNat,57,unrelated,nonNat_57_unrelated,0,,,experiment,3.492,2.401,2.525,2.994,0.124,0.469,0.498,22,229,52
nonNat,340,control,nonNat_340_control,0,,,experiment,6.734,3.096,3.307,3.964,0.211,0.657,2.77,55,155,53
Nat,354,control,Nat_354_control,0,,,experiment,4.3,2.123,2.246,2.807,0.123,0.561,1.493,55,155,54
Nat,132,unrelated,Nat_132_unrelated,0,,,experiment,5.454,2.46,2.612,3.237,0.152,0.625,2.217,12,129,55
Nat,68,unrelated,Nat_68_unrelated,1,Gingen de dames nog een sigaretje roken?,1.0,experiment,4.608,2.892,2.998,3.489,0.106,0.491,1.119,12,129,56
Nat,22,unrelated,Nat_22_unrelated,0,,,experiment,3.681,2.142,2.28,2.883,0.138,0.603,0.798,12,129,57
nonNat,149,unrelated,nonNat_149_unrelated,0,,,experiment,7.02,5.64,5.751,6.18,0.111,0.429,0.84,22,229,58
Nat,144,unrelated,Nat_144_unrelated,1,Was het druk op de weg naar Zandvoort?,0.0,experiment,5.337,4.333,4.431,4.695,0.098,0.264,0.642,12,129,59
nonNat,344,control,nonNat_344_control,0,,,experiment,3.692,2.309,2.766,3.06,0.457,0.294,0.632,55,155,60
Nat,49,related,Nat_49_related,1,Is er een muizenplaag in het studentenhuis?,1.0,experiment,3.211,2.226,2.4,2.721,0.174,0.321,0.49,11,119,61
nonNat,69,unrelated,nonNat_69_unrelated,1,Heeft Michael een nieuwe afstandsbediening gekocht voor zijn tv?,1.0,experiment,4.916,3.339,3.422,3.823,0.083,0.401,1.093,22,229,62
nonNat,341,control,nonNat_341_control,0,,,experiment,6.315,5.196,5.48,6.264,0.284,0.784,0.051,55,155,63
nonNat,315,control,nonNat_315_control,0,,,experiment,7.156,5.784,5.953,6.387,0.169,0.434,0.769,55,155,64
nonNat,150,related,nonNat_150_related,1,Ging de zin over zuivelproducten?,0.0,experiment,5.269,2.656,2.85,3.425,0.194,0.575,1.844,21,219,65
nonNat,356,control,nonNat_356_control,0,,,experiment,4.958,1.149,1.344,1.979,0.195,0.635,2.979,55,155,66
nonNat,321,control,nonNat_321_control,0,,,experiment,5.353,4.761,4.915,5.281,0.154,0.366,0.072,55,155,67
Nat,104,related,Nat_104_related,1,Ging de zin over een fietstocht door de Alpen?,0.0,experiment,3.754,2.052,2.218,2.527,0.166,0.309,1.227,11,119,68
nonNat,323,control,nonNat_323_control,0,,,experiment,5.256,1.839,1.993,2.282,0.154,0.289,2.974,55,155,69
nonNat,21,unrelated,nonNat_21_unrelated,1,Is het belangrijk om goed op het verkeer te letten als je in de auto rijdt?,1.0,experiment,4.851,3.355,3.473,3.929,0.118,0.456,0.922,22,229,70
Nat,120,related,Nat_120_related,1,Had Marc genoeg tijd ingepland om te studeren voor zijn literatuurtentamen?,0.0,experiment,9.376,5.343,5.445,6.122,0.102,0.677,3.254,11,119,71
nonNat,353,control,nonNat_353_control,0,,,experiment,4.397,1.92,2.031,2.405,0.111,0.374,1.992,55,155,72
Nat,352,control,Nat_352_control,0,,,experiment,6.305,1.895,2.537,3.281,0.642,0.744,3.024,55,155,73
nonNat,102,related,nonNat_102_related,1,Was het lekker weer om te gaan picknicken?,0.0,experiment,4.676,3.647,3.786,4.016,0.139,0.23,0.66,21,219,74
nonNat,141,related,nonNat_141_related,0,,,experiment,4.16,2.646,2.796,3.127,0.15,0.331,1.033,21,219,75
nonNat,123,unrelated,nonNat_123_unrelated,1,Houdt de spreker van dieren?,0.0,experiment,6.022,3.53,3.634,4.395,0.104,0.761,1.627,22,229,76
nonNat,318,control,nonNat_318_control,0,,,experiment,5.781,5.107,5.228,5.745,0.121,0.517,0.036,55,155,77
nonNat,136,related,nonNat_136_related,1,Kwam de trein op tijd aan in Utrecht?,0.0,experiment,3.997,2.767,2.877,3.368,0.11,0.491,0.629,21,219,78
nonNat,90,unrelated,nonNat_90_unrelated,0,,,experiment,4.886,3.919,4.101,4.574,0.182,0.473,0.312,22,229,79
Nat,322,control,Nat_322_control,0,,,experiment,4.224,1.9,2.007,2.661,0.107,0.654,1.563,55,155,80
Nat,38,related,Nat_38_related,1,Maakte het publiek na afloop van de voorstelling een buiging?,1.0,experiment,5.052,3.995,4.134,4.498,0.139,0.364,0.554,11,119,81
nonNat,103,related,nonNat_103_related,1,Was de prinses opgesloten in de torenkamer?,0.0,experiment,6.493,3.74,3.926,4.354,0.186,0.428,2.139,21,219,82
Nat,88,unrelated,Nat_88_unrelated,1,Gaat deze uitdrukking over koeien?,0.0,experiment,3.552,2.583,2.722,3.017,0.139,0.295,0.535,12,129,83
Nat,157,related,Nat_157_related,0,,,experiment,4.648,3.462,3.55,3.876,0.088,0.326,0.772,11,119,84
nonNat,111,unrelated,nonNat_111_unrelated,1,Heeft de werknemer zijn contract getekend voor de onderhandelingen?,0.0,experiment,5.26,3.285,3.508,3.895,0.223,0.387,1.365,22,229,85
Nat,129,unrelated,Nat_129_unrelated,0,,,experiment,7.086,4.963,5.199,5.556,0.236,0.357,1.53,12,129,86
Nat,333,control,Nat_333_control,0,,,experiment,4.08,2.1,2.185,2.734,0.085,0.549,1.346,55,155,87
nonNat,308,control,nonNat_308_control,0,,,experiment,5.352,3.177,3.361,4.138,0.184,0.777,1.214,55,155,88
Nat,342,control,Nat_342_control,0,,,experiment,7.08,6.039,6.198,6.442,0.159,0.244,0.638,55,155,89
Nat,134,unrelated,Nat_134_unrelated,0,,,experiment,3.866,2.585,2.722,3.084,0.137,0.362,0.782,12,129,90
Nat,51,related,Nat_51_related,1,Gaat de spreker wel eens op vakantie?,1.0,experiment,4.628,2.904,3.111,3.622,0.207,0.511,1.006,11,119,91
nonNat,155,related,nonNat_155_related,1,Gaat Zwarte Piet door de schoorsteen naar binnen?,0.0,experiment,7.517,4.37,4.521,5.347,0.151,0.826,2.17,21,219,92
Nat,85,related,Nat_85_related,1,Ging de zin over lastdieren in de bergen?,1.0,experiment,4.422,2.992,3.13,3.523,0.138,0.393,0.899,11,119,93
Nat,131,related,Nat_131_related,1,Werden de kaartjes gecontroleerd in de trein?,0.0,experiment,4.577,2.815,2.973,3.537,0.158,0.564,1.04,11,119,94
Nat,156,related,Nat_156_related,0,,,experiment,4.092,3.189,3.268,3.536,0.079,0.268,0.556,11,119,95
Nat,338,control,Nat_338_control,0,,,experiment,4.288,0.246,0.377,0.74,0.131,0.363,3.548,55,155,96
nonNat,94,related,nonNat_94_related,0,,,experiment,8.9,4.607,4.75,5.213,0.143,0.463,3.687,21,219,97
nonNat,300,control,nonNat_300_control,0,,,experiment,3.403,0.8,0.943,1.572,0.143,0.629,1.831,55,155,98
nonNat,100,unrelated,nonNat_100_unrelated,1,Werd de gladheid aangekondigd op de tv?,0.0,experiment,7.754,5.457,5.778,6.444,0.321,0.666,1.31,22,229,99
Nat,83,unrelated,Nat_83_unrelated,0,,,experiment,6.674,4.195,4.293,4.787,0.098,0.494,1.887,12,129,100
nonNat,34,unrelated,nonNat_34_unrelated,1,Moeten ze vanavond vroeg naar bed?,1.0,experiment,5.374,3.653,3.907,4.328,0.254,0.421,1.046,22,229,101
Nat,153,related,Nat_153_related,0,,,experiment,3.544,2.316,2.409,3.02,0.093,0.611,0.524,11,119,102
nonNat,133,unrelated,nonNat_133_unrelated,1,Moesten de mensen wachten voor ze geholpen werden bij de dokter?,0.0,experiment,5.659,2.846,3.01,3.551,0.164,0.541,2.108,22,229,103
Nat,154,unrelated,Nat_154_unrelated,0,,,experiment,4.505,3.451,3.634,3.915,0.183,0.281,0.59,12,129,104
nonNat,109,related,nonNat_109_related,0,,,experiment,9.102,5.22,5.415,5.956,0.195,0.541,3.146,21,219,105
Nat,31,unrelated,Nat_31_unrelated,1,Hebben ze een hoop post gekregen terwijl we op vakantie waren?,1.0,experiment,3.445,2.281,2.535,3.025,0.254,0.49,0.42,12,129,106
Nat,317,control,Nat_317_control,0,,,experiment,5.224,0.01,0.071,0.614,0.061,0.543,4.61,55,155,107
Nat,17,unrelated,Nat_17_unrelated,1,Is David een echte gentleman?,1.0,experiment,4.626,3.065,3.217,3.657,0.152,0.44,0.969,12,129,108
Nat,316,control,Nat_316_control,0,,,experiment,4.12,3.541,3.686,4.114,0.145,0.428,0.006,55,155,109
nonNat,50,unrelated,nonNat_50_unrelated,1,Had het sprookje een goed einde?,1.0,experiment,5.403,3.041,3.196,3.798,0.155,0.602,1.605,22,229,110
nonNat,327,control,nonNat_327_control,0,,,experiment,5.966,1.842,2.532,2.759,0.69,0.227,3.207,55,155,111
Nat,110,unrelated,Nat_110_unrelated,1,Heeft de koning de nieuwe brug geopend?,0.0,experiment,5.638,4.135,4.332,4.75,0.197,0.418,0.888,12,129,112
Nat,25,related,Nat_25_related,0,,,experiment,5.116,3.22,3.41,3.746,0.19,0.336,1.37,11,119,113
nonNat,304,control,nonNat_304_control,0,,,experiment,5.607,0.515,0.68,1.437,0.165,0.757,4.17,55,155,114
Nat,27,unrelated,Nat_27_unrelated,0,,,experiment,4.246,2.638,2.786,3.139,0.148,0.353,1.107,12,129,115
nonNat,151,unrelated,nonNat_151_unrelated,1,Werd het bestek in de onderste lade bewaard?,0.0,experiment,5.107,3.463,3.605,3.994,0.142,0.389,1.113,22,229,116
nonNat,302,control,nonNat_302_control,0,,,experiment,6.976,5.745,6.042,6.346,0.297,0.304,0.63,55,155,117
nonNat,47,unrelated,nonNat_47_unrelated,0,,,experiment,5.004,3.502,3.714,4.394,0.212,0.68,0.61,22,229,118
nonNat,316,control,nonNat_316_control,0,,,experiment,5.225,0.039,0.179,0.846,0.14,0.667,4.379,55,155,119
Nat,63,related,Nat_63_related,0,,,experiment,3.467,1.614,1.726,2.162,0.112,0.436,1.305,11,119,120
nonNat,348,control,nonNat_348_control,0,,,experiment,5.731,1.777,2.02,2.715,0.243,0.695,3.016,55,155,121
nonNat,10,unrelated,nonNat_10_unrelated,1,Is Andre de nieuwe sterspeler van het team?,1.0,experiment,3.711,1.785,1.925,2.377,0.14,0.452,1.334,22,229,122
nonNat,77,unrelated,nonNat_77_unrelated,0,,,experiment,4.324,3.231,3.403,3.738,0.172,0.335,0.586,22,229,123
nonNat,360,control,nonNat_360_control,0,,,experiment,4.996,2.965,3.153,3.656,0.188,0.503,1.34,55,155,124
nonNat,322,control,nonNat_322_control,0,,,experiment,5.475,0.235,0.447,1.049,0.212,0.602,4.426,55,155,125
nonNat,121,unrelated,nonNat_121_unrelated,0,,,experiment,5.129,2.952,3.151,3.56,0.199,0.409,1.569,22,229,126
Nat,28,unrelated,Nat_28_unrelated,0,,,experiment,5.243,4.043,4.214,4.563,0.171,0.349,0.68,12,129,127
Nat,122,unrelated,Nat_122_unrelated,0,,,experiment,5.114,3.501,3.641,4.095,0.14,0.454,1.019,12,129,128
nonNat,42,related,nonNat_42_related,1,Was de fiets van Martijn gestolen?,1.0,experiment,5.988,3.965,4.134,4.647,0.169,0.513,1.341,21,219,129
Nat,142,related,Nat_142_related,0,,,experiment,7.016,3.907,4.06,4.432,0.153,0.372,2.584,11,119,130
Nat,106,unrelated,Nat_106_unrelated,0,,,experiment,5.987,4.344,4.479,4.871,0.135,0.392,1.116,12,129,131
Nat,74,related,Nat_74_related,0,,,experiment,3.793,2.697,2.798,3.165,0.101,0.367,0.628,11,119,132
Nat,41,unrelated,Nat_41_unrelated,0,,,experiment,4.696,2.225,2.389,3.022,0.164,0.633,1.674,12,129,133
nonNat,329,control,nonNat_329_control,0,,,experiment,5.743,3.595,3.704,4.323,0.109,0.619,1.42,55,155,134
nonNat,39,unrelated,nonNat_39_unrelated,1,Draait de nieuwe film van die acteur al?,1.0,experiment,3.041,1.918,2.061,2.465,0.143,0.404,0.576,22,229,135
Nat,143,unrelated,Nat_143_unrelated,0,,,experiment,6.737,5.385,5.538,5.996,0.153,0.458,0.741,12,129,136
Nat,75,related,Nat_75_related,1,Ging de zin over de maand januari?,1.0,experiment,3.773,1.607,1.712,2.031,0.105,0.319,1.742,11,119,137
nonNat,26,unrelated,nonNat_26_unrelated,1,Zijn de meiden hout aan het verzamelen voor het kampvuur vanavond?,1.0,experiment,4.343,3.33,3.586,3.818,0.256,0.232,0.525,22,229,138
nonNat,158,related,nonNat_158_related,1,Gaat de zin over een populair liedje?,0.0,experiment,3.088,1.661,1.803,2.211,0.142,0.408,0.877,21,219,139
nonNat,7,unrelated,nonNat_7_unrelated,0,,,experiment,6.976,5.601,5.788,6.164,0.187,0.376,0.812,22,229,140
nonNat,349,control,nonNat_349_control,0,,,experiment,6.469,0.065,0.152,0.77,0.087,0.618,5.699,55,155,141
Nat,126,related,Nat_126_related,1,Wilden ze zijn afstuderen vieren met champagne?,0.0,experiment,6.875,4.255,4.385,5.031,0.13,0.646,1.844,11,119,142
Nat,12,unrelated,Nat_12_unrelated,1,Was het mooi weer om met de fiets te gaan?,1.0,experiment,4.743,1.991,2.161,2.461,0.17,0.3,2.282,12,129,143
Nat,45,related,Nat_45_related,1,Wilde ze graag haar telefoon opladen?,1.0,experiment,5.704,3.766,3.889,4.589,0.123,0.7,1.115,11,119,144
Nat,11,related,Nat_11_related,0,,,experiment,5.544,4.075,4.264,4.653,0.189,0.389,0.891,11,119,145
nonNat,354,control,nonNat_354_control,0,,,experiment,3.677,1.658,1.771,2.252,0.113,0.481,1.425,55,155,146
Nat,336,control,Nat_336_control,0,,,experiment,6.32,3.326,3.823,4.235,0.497,0.412,2.085,55,155,147
nonNat,16,unrelated,nonNat_16_unrelated,0,,,experiment,4.806,2.451,2.598,2.982,0.147,0.384,1.824,22,229,148
Nat,140,related,Nat_140_related,1,Waren de bejaarden geïnteresseerd in schilderijen van Monet?,0.0,experiment,5.48,3.663,3.743,4.311,0.08,0.568,1.169,11,119,149
Nat,349,control,Nat_349_control,0,,,experiment,5.919,4.139,4.256,5.075,0.117,0.819,0.844,55,155,150
nonNat,67,related,nonNat_67_related,1,Was Aafke al in het klaslokaal toen de bel ging?,1.0,experiment,4.38,3.393,3.594,3.784,0.201,0.19,0.596,21,219,151
Nat,304,control,Nat_304_control,0,,,experiment,4.264,0.428,0.515,1.051,0.087,0.536,3.213,55,155,152
Nat,356,control,Nat_356_control,0,,,experiment,5.435,1.728,1.92,2.521,0.192,0.601,2.914,55,155,153
Nat,328,control,Nat_328_control,0,,,experiment,5.552,2.806,2.934,3.277,0.128,0.343,2.275,55,155,154
nonNat,92,related,nonNat_92_related,1,Betalen de meeste mensen huur per jaar?,0.0,experiment,4.813,3.598,3.758,4.113,0.16,0.355,0.7,21,219,155
Nat,152,related,Nat_152_related,0,,,experiment,2.872,1.635,1.803,2.309,0.168,0.506,0.563,11,119,156
Nat,33,related,Nat_33_related,1,Kijken de ouders elke avond het achtuurjournaal?,1.0,experiment,6.47,3.857,3.96,4.416,0.103,0.456,2.054,11,119,157
nonNat,339,control,nonNat_339_control,0,,,experiment,5.492,2.062,2.259,2.66,0.197,0.401,2.832,55,155,158
nonNat,333,control,nonNat_333_control,0,,,experiment,4.705,2.326,2.417,2.984,0.091,0.567,1.721,55,155,159
Nat,344,control,Nat_344_control,0,,,experiment,3.216,2.075,2.527,2.76,0.452,0.233,0.456,55,155,160
nonNat,4,related,nonNat_4_related,0,,,experiment,5.783,3.11,3.26,3.8,0.15,0.54,1.983,21,219,161
nonNat,43,related,nonNat_43_related,1,Heeft het team de laatste wedstrijd gewonnen?,1.0,experiment,5.296,3.623,3.842,4.151,0.219,0.309,1.145,21,219,162
Nat,80,unrelated,Nat_80_unrelated,0,,,experiment,4.137,2.953,3.079,3.379,0.126,0.3,0.758,12,129,163
Nat,302,control,Nat_302_control,0,,,experiment,5.546,4.321,4.623,4.913,0.302,0.29,0.633,55,155,164
nonNat,59,unrelated,nonNat_59_unrelated,0,,,experiment,8.053,5.749,5.868,6.481,0.119,0.613,1.572,22,229,165
nonNat,107,unrelated,nonNat_107_unrelated,0,,,experiment,6.528,3.679,3.861,4.251,0.182,0.39,2.277,22,229,166
Nat,146,unrelated,Nat_146_unrelated,1,Had de spreker de bus gehaald?,0.0,experiment,3.554,2.233,2.386,3.001,0.153,0.615,0.553,12,129,167
nonNat,331,control,nonNat_331_control,0,,,experiment,5.778,0.951,1.198,1.547,0.247,0.349,4.231,55,155,168
Nat,118,unrelated,Nat_118_unrelated,1,Is de student vroeg naar bed gegaan voor zijn tentamen de volgende morgen?,0.0,experiment,3.37,1.63,1.779,2.121,0.149,0.342,1.249,12,129,169
nonNat,9,related,nonNat_9_related,1,Heeft de spreker een kerstboom met Kerst?,1.0,experiment,4.278,2.509,2.671,3.179,0.162,0.508,1.099,21,219,170
nonNat,58,unrelated,nonNat_58_unrelated,1,Heeft de spreker het over een t-Shirt van haar lievelingsband?,1.0,experiment,6.351,4.117,4.312,4.854,0.195,0.542,1.497,22,229,171
nonNat,87,related,nonNat_87_related,0,,,experiment,9.313,7.026,7.183,7.62,0.157,0.437,1.693,21,219,172
Nat,332,control,Nat_332_control,0,,,experiment,5.984,1.064,1.213,1.822,0.149,0.609,4.162,55,155,173
Nat,30,related,Nat_30_related,1,Maken kinderen sneeuwengelen in de winter?,1.0,experiment,3.074,1.622,1.679,1.991,0.057,0.312,1.083,11,119,174
nonNat,62,related,nonNat_62_related,0,,,experiment,4.926,2.79,2.929,3.469,0.139,0.54,1.457,21,219,175
Nat,339,control,Nat_339_control,0,,,experiment,4.576,1.743,1.994,2.342,0.251,0.348,2.234,55,155,176
Nat,340,control,Nat_340_control,0,,,experiment,6.512,3.775,4.232,4.72,0.457,0.488,1.792,55,155,177
Nat,20,unrelated,Nat_20_unrelated,0,,,experiment,3.216,2.021,2.162,2.625,0.141,0.463,0.591,12,129,178
Nat,137,related,Nat_137_related,0,,,experiment,4.923,3.884,3.992,4.265,0.108,0.273,0.658,11,119,179
