speaker,sentID,relatedness,filename,hasQuestion,Question,yesOrNo,part,totalLen,onsetDet,onsetNoun,offsetNoun,trialIndex,trigDet,trigOffsetNoun
nonNat,122,unrelated,nonNat_122_unrelated,0,,,experiment,5.832,3.858,4.055,4.607,42,22,229
nonNat,108,unrelated,nonNat_108_unrelated,0,,,experiment,6.264,3.79,3.895,4.362,43,22,229
Nat,62,unrelated,Nat_62_unrelated,0,,,experiment,5.68,3.189,3.323,4.243,44,12,129
nonNat,49,related,nonNat_49_related,1,Is er een muizenplaag in het studentenhuis?,1.0,experiment,3.707,2.763,2.897,3.237,45,21,219
Nat,54,unrelated,Nat_54_unrelated,0,,,experiment,3.88,2.068,2.247,2.708,46,12,129
nonNat,100,related,nonNat_100_related,1,Werd de gladheid aangekondigd op de tv?,0.0,experiment,7.446,5.457,5.601,6.041,47,21,219
nonNat,143,unrelated,nonNat_143_unrelated,0,,,experiment,6.896,5.502,5.631,6.135,48,22,229
nonNat,114,related,nonNat_114_related,1,Had Hendrik een bioscoopbon gekregen voor zijn verjaardag?,0.0,experiment,7.206,5.896,6.069,6.533,49,21,219
nonNat,126,related,nonNat_126_related,1,Wilden ze zijn afstuderen vieren met champagne?,0.0,experiment,6.561,4.153,4.24,4.894,50,21,219
Nat,144,unrelated,Nat_144_unrelated,1,Was het druk op de weg naar Zandvoort?,0.0,experiment,5.337,4.333,4.431,4.695,51,12,129
Nat,88,related,Nat_88_related,1,Gaat deze uitdrukking over koeien?,0.0,experiment,3.539,2.583,2.688,3.024,52,11,119
Nat,16,unrelated,Nat_16_unrelated,0,,,experiment,4.065,2.217,2.326,2.695,53,12,129
Nat,63,unrelated,Nat_63_unrelated,0,,,experiment,3.336,1.614,1.764,2.009,54,12,129
nonNat,132,unrelated,nonNat_132_unrelated,0,,,experiment,6.274,2.754,2.954,3.627,55,22,229
Nat,8,unrelated,Nat_8_unrelated,0,,,experiment,5.062,2.974,3.066,3.65,56,12,129
Nat,4,unrelated,Nat_4_unrelated,0,,,experiment,4.125,2.138,2.362,2.7,57,12,129
nonNat,154,unrelated,nonNat_154_unrelated,0,,,experiment,6.707,5.543,5.703,6.077,58,22,229
Nat,26,related,Nat_26_related,1,Zijn de meiden hout aan het verzamelen voor het kampvuur vanavond?,1.0,experiment,3.718,2.523,2.672,3.121,59,11,119
nonNat,134,unrelated,nonNat_134_unrelated,0,,,experiment,4.388,2.85,3.037,3.498,60,22,229
Nat,23,unrelated,Nat_23_unrelated,0,,,experiment,3.656,2.296,2.427,2.867,61,12,129
Nat,10,related,Nat_10_related,1,Is Andre de nieuwe sterspeler van het team?,1.0,experiment,2.704,1.302,1.46,1.709,62,11,119
Nat,28,unrelated,Nat_28_unrelated,0,,,experiment,5.243,4.043,4.214,4.563,63,12,129
nonNat,93,related,nonNat_93_related,1,Ging de zanger in een helicopter terug naar het hotel?,0.0,experiment,4.975,3.639,3.819,4.218,64,21,219
Nat,158,unrelated,Nat_158_unrelated,1,Gaat de zin over een populair liedje?,0.0,experiment,3.001,1.831,1.945,2.234,65,12,129
Nat,32,related,Nat_32_related,1,Was er genoeg licht om te lezen in de kamer?,1.0,experiment,3.87,2.916,3.056,3.303,66,11,119
Nat,102,related,Nat_102_related,1,Was het lekker weer om te gaan picknicken?,0.0,experiment,4.237,3.218,3.343,3.612,67,11,119
nonNat,68,related,nonNat_68_related,1,Gingen de dames nog een sigaretje roken?,1.0,experiment,5.035,3.149,3.316,3.69,68,21,219
Nat,160,unrelated,Nat_160_unrelated,1,Verspreidt de koude lucht zich vanuit Rusland?,0.0,experiment,4.623,3.488,3.638,4.132,69,12,129
nonNat,106,unrelated,nonNat_106_unrelated,0,,,experiment,6.487,4.737,4.896,5.352,70,22,229
nonNat,131,related,nonNat_131_related,1,Werden de kaartjes gecontroleerd in de trein?,0.0,experiment,4.857,3.113,3.268,3.734,71,21,219
Nat,94,related,Nat_94_related,0,,,experiment,7.685,4.12,4.249,4.632,72,11,119
nonNat,97,unrelated,nonNat_97_unrelated,0,,,experiment,3.857,2.876,3.057,3.397,73,22,229
Nat,11,unrelated,Nat_11_unrelated,0,,,experiment,5.853,4.075,4.258,4.963,74,12,129
nonNat,116,unrelated,nonNat_116_unrelated,0,,,experiment,5.318,4.202,4.356,4.759,75,22,229
nonNat,136,related,nonNat_136_related,1,Kwam de trein op tijd aan in Utrecht?,0.0,experiment,3.997,2.767,2.877,3.368,76,21,219
Nat,40,related,Nat_40_related,1,Zetten ze altijd een zwembad op als het warm is?,1.0,experiment,3.502,2.475,2.627,2.857,77,11,119
Nat,64,unrelated,Nat_64_unrelated,0,,,experiment,3.597,2.577,2.761,3.003,78,12,129
Nat,129,related,Nat_129_related,0,,,experiment,7.027,4.963,5.116,5.513,79,11,119
Nat,21,related,Nat_21_related,1,Is het belangrijk om goed op het verkeer te letten als je in de auto rijdt?,1.0,experiment,3.651,2.353,2.496,2.72,80,11,119
Nat,41,unrelated,Nat_41_unrelated,0,,,experiment,4.696,2.225,2.389,3.022,81,12,129
nonNat,109,unrelated,nonNat_109_unrelated,0,,,experiment,9.025,5.22,5.362,6.154,82,22,229
nonNat,118,related,nonNat_118_related,1,Is de student vroeg naar bed gegaan voor zijn tentamen de volgende morgen?,0.0,experiment,4.4,2.337,2.497,3.178,83,21,219
Nat,27,unrelated,Nat_27_unrelated,0,,,experiment,4.246,2.638,2.786,3.139,84,12,129
Nat,5,related,Nat_5_related,0,,,experiment,4.282,3.03,3.109,3.46,85,11,119
nonNat,152,unrelated,nonNat_152_unrelated,0,,,experiment,3.223,2.026,2.199,2.553,86,22,229
nonNat,142,unrelated,nonNat_142_unrelated,0,,,experiment,7.808,4.637,4.728,5.484,87,22,229
Nat,46,unrelated,Nat_46_unrelated,0,,,experiment,4.176,3.299,3.439,3.643,88,12,129
nonNat,149,unrelated,nonNat_149_unrelated,0,,,experiment,7.02,5.64,5.751,6.18,89,22,229
Nat,47,unrelated,Nat_47_unrelated,0,,,experiment,5.09,3.353,3.541,4.365,90,12,129
Nat,66,unrelated,Nat_66_unrelated,0,,,experiment,3.904,1.821,1.97,2.27,91,12,129
nonNat,156,unrelated,nonNat_156_unrelated,0,,,experiment,5.913,4.873,5.041,5.432,92,22,229
nonNat,153,unrelated,nonNat_153_unrelated,0,,,experiment,3.643,2.29,2.468,3.157,93,22,229
Nat,22,unrelated,Nat_22_unrelated,0,,,experiment,3.681,2.142,2.28,2.883,94,12,129
nonNat,110,related,nonNat_110_related,1,Heeft de koning de nieuwe brug geopend?,0.0,experiment,5.687,4.202,4.367,4.725,95,21,219
Nat,30,related,Nat_30_related,1,Maken kinderen sneeuwengelen in de winter?,1.0,experiment,3.074,1.622,1.679,1.991,96,11,119
Nat,151,unrelated,Nat_151_unrelated,1,Werd het bestek in de onderste lade bewaard?,0.0,experiment,4.222,2.775,2.837,3.292,97,12,129
Nat,34,related,Nat_34_related,1,Moeten ze vanavond vroeg naar bed?,1.0,experiment,4.584,3.183,3.308,3.665,98,11,119
nonNat,51,related,nonNat_51_related,1,Gaat de spreker wel eens op vakantie?,1.0,experiment,4.126,2.694,2.8,3.367,99,21,219
Nat,12,related,Nat_12_related,1,Was het mooi weer om met de fiets te gaan?,1.0,experiment,4.688,1.991,2.13,2.406,100,11,119
nonNat,130,related,nonNat_130_related,1,Kijken Frans en Stijn het liefst voetbal op tv?,0.0,experiment,,,,,101,21,219
nonNat,69,related,nonNat_69_related,1,Heeft Michael een nieuwe afstandsbediening gekocht voor zijn tv?,1.0,experiment,5.183,3.339,3.463,3.853,102,21,219
Nat,6,related,Nat_6_related,1,Gaat de spreker in de zomer graag zwemmen?,1.0,experiment,4.823,3.175,3.309,3.824,103,11,119
Nat,92,related,Nat_92_related,1,Betalen de meeste mensen huur per jaar?,0.0,experiment,3.748,2.549,2.686,3.024,104,11,119
nonNat,45,related,nonNat_45_related,1,Wilde ze graag haar telefoon opladen?,1.0,experiment,6.527,4.361,4.471,5.233,105,21,219
Nat,20,unrelated,Nat_20_unrelated,0,,,experiment,3.216,2.021,2.162,2.625,106,12,129
nonNat,84,unrelated,nonNat_84_unrelated,0,,,experiment,8.61,6.526,6.746,7.371,107,22,229
Nat,146,unrelated,Nat_146_unrelated,1,Had de spreker de bus gehaald?,0.0,experiment,3.554,2.233,2.386,3.001,108,12,129
nonNat,159,unrelated,nonNat_159_unrelated,0,,,experiment,5.75,4.895,5.086,5.314,109,22,229
nonNat,83,unrelated,nonNat_83_unrelated,0,,,experiment,6.099,3.554,3.678,4.171,110,22,229
Nat,13,related,Nat_13_related,1,Was de spreker ziek?,1.0,experiment,4.256,3.091,3.231,3.481,111,11,119
nonNat,103,related,nonNat_103_related,1,Was de prinses opgesloten in de torenkamer?,0.0,experiment,6.493,3.74,3.926,4.354,112,21,219
Nat,59,related,Nat_59_related,0,,,experiment,7.181,5.245,5.364,5.853,113,11,119
nonNat,67,related,nonNat_67_related,1,Was Aafke al in het klaslokaal toen de bel ging?,1.0,experiment,4.38,3.393,3.594,3.784,114,21,219
nonNat,133,related,nonNat_133_related,1,Moesten de mensen wachten voor ze geholpen werden bij de dokter?,0.0,experiment,5.792,2.846,2.951,3.637,115,21,219
nonNat,43,related,nonNat_43_related,1,Heeft het team de laatste wedstrijd gewonnen?,1.0,experiment,5.296,3.623,3.842,4.151,116,21,219
Nat,29,related,Nat_29_related,1,Staan de boeken die de spreker gelezen heeft op de bovenste plank in de kast?,1.0,experiment,3.044,1.994,2.125,2.375,117,11,119
nonNat,124,related,nonNat_124_related,1,Is Jim vegetarisch?,0.0,experiment,5.822,3.858,4.006,4.613,118,21,219
Nat,148,unrelated,Nat_148_unrelated,1,Is het goed om geld op de bank te zetten?,0.0,experiment,4.139,3.339,3.43,3.804,119,12,129
Nat,161,unrelated,Nat_161_unrelated,1,Leest de vader van de spreker graag de krant op zaterdag?,0.0,experiment,3.36,2.012,2.144,2.6,120,12,129
